name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
라인드한남 &amp; 루프탑,restaurant,용산구,37.54947152734125,127.07806507357468,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 용산구 한남동 657-97 6층,
레스토랑 아이오유,restaurant,용산구,37.418828893642555,126.97062511569284,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 용산구 청암동 164,
쇼니노,restaurant,용산구,37.431900510723935,126.94907096506726,1,3,3,2,3,no,yes,음식점>양식,서울특별시 용산구 한강로3가 40-126 1층,
멜팅팟,restaurant,용산구,37.470976196623226,127.01791051856571,1,3,3,2,3,no,yes,음식점>양식,서울특별시 용산구 한강로1가 141-3 2층,
카토,restaurant,용산구,37.4185253623133,126.96087533673848,1,3,3,2,3,no,yes,음식점>양식,"서울특별시 용산구 한강로3가 40-224 1층, 2층",
도토리 용산점,cafe,용산구,37.47685486617218,127.07079671506295,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 용산구 한강로1가 227 1층,
오아시스 한남점,restaurant,용산구,37.594722816129135,127.01880533229004,1,3,3,2,3,no,yes,음식점>브런치,서울특별시 용산구 한남동 745-10,
느루 용산점,restaurant,용산구,37.537939382475145,126.99626834587522,1,3,3,2,3,no,yes,음식점>양식,서울특별시 용산구 한강로2가 134-1 1층,
쌤쌤쌤,restaurant,용산구,37.499513881522596,126.9583468000744,1,3,3,2,3,no,yes,음식점>양식,서울특별시 용산구 한강로2가 47-3 1층,
파이프그라운드 한남점,restaurant,용산구,37.56910341934338,127.06645779711504,1,3,3,2,3,no,yes,음식점>피자,서울특별시 용산구 한남동 727-21 지하1층,
퍼즈남영,restaurant,용산구,37.43835177029106,127.04586320402203,1,4,2,2,3,yes,yes,술집>요리주점,서울특별시 용산구 갈월동 90-15 2층,
차경,restaurant,용산구,37.56037758770051,127.03558890420076,1,2,4,4,3,yes,no,술집>와인,서울특별시 용산구 용산동2가 1-82 2층,
청파비노,restaurant,용산구,37.41572072055236,126.96309198286704,1,2,4,4,3,yes,no,술집>와인,서울특별시 용산구 서계동 235-21 1층,
비노파라다이스 한남,restaurant,용산구,37.47476015319521,126.98333280962534,1,2,4,4,3,yes,no,술집>와인,서울특별시 용산구 한남동 32-26,
선셋 무드,restaurant,용산구,37.472031699484006,127.06055141569118,1,4,2,2,3,yes,yes,술집>바(BAR),서울특별시 용산구 이태원동 226-6 4층,
리틀넥 한남,restaurant,용산구,37.404885527124875,127.05264887544294,1,3,3,2,3,no,yes,음식점>양식>이탈리아음식,서울특별시 용산구 한남동 727-21 1층,
부자피자 1호점,restaurant,용산구,37.54177199585882,126.92221564594685,1,3,3,2,3,no,yes,음식점>피자,서울특별시 용산구 한남동 743-33,
매드포갈릭 용산아이파크몰점,restaurant,용산구,37.42485854691821,126.91188914368709,1,3,3,2,3,no,yes,양식>이탈리아음식,서울특별시 용산구 한강로3가 40-999 용산아이파크몰 TASTE PARK 5층,
메종 루블랑,restaurant,용산구,37.527246812693036,126.94985642019138,1,3,3,2,3,no,yes,음식점>프랑스음식,서울특별시 용산구 한강로3가 40-159 1층,
라따뚜이 인 서울,restaurant,용산구,37.52607044718564,127.08293291715648,1,3,3,2,3,no,yes,음식점>프랑스음식,서울특별시 용산구 청파동3가 12-2 1층 라따뚜이인서울,
베쓰 푸틴,restaurant,용산구,37.55954745205652,127.08103658970262,1,3,3,2,3,no,yes,음식점>후렌치후라이,서울특별시 용산구 보광동 238-12 1층 102호,
알레즈,restaurant,용산구,37.47788016416235,126.92349591745266,1,3,3,2,3,no,yes,음식점>프랑스음식,서울특별시 용산구 한남동 32-17,
뮤땅,restaurant,용산구,37.57378604563195,126.94508560509546,1,3,3,2,3,no,yes,음식점>프랑스음식,서울특별시 용산구 한남동 653-103 2층,
타파코파,restaurant,용산구,37.40180563167589,127.05635847863748,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 용산구 한강로1가 231-12 1층,
레에스티우,restaurant,용산구,37.52335097214008,126.96932619060206,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 용산구 한남동 644-19 레에스티우,
비니투스 용산본점,restaurant,용산구,37.46344390853822,126.94905445597009,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 용산구 한강로3가 40-4,
타파스바,restaurant,용산구,37.505197368630405,127.00382916187358,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 용산구 이태원동 119-28 1층,
문스타파 한남점,restaurant,용산구,37.45244154250153,127.02736909119562,1,3,3,2,3,no,yes,음식점>스페인음식,서울특별시 용산구 한남동 657-96 1층 문스타파 한남점,
스즈란테이,restaurant,용산구,37.53808053686419,127.07244602494609,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 용산구 이촌동 301-151 로얄상가 지하 1층,
초승달,restaurant,용산구,37.518519227766234,127.06241039167591,1,4,2,2,3,yes,yes,술집>요리주점,서울특별시 용산구 이태원동 226-3 1층,
산동,restaurant,용산구,37.4478828734357,127.02000136950919,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 용산구 한강로2가 311-2,
한땀스시,restaurant,용산구,37.520102710685656,127.07864694619899,1,3,3,2,3,no,yes,"음식점>일식>초밥,롤",서울특별시 용산구 한강로2가 420 용산푸지오써밋 지하 1층 B102-1호,
고로고로 용산,restaurant,용산구,37.584232722771404,127.03580531704466,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 용산구 한강로3가 40-216 1층,
미나리밭오리사냥 용산,restaurant,용산구,37.59094671021571,126.93764448039214,1,3,3,2,3,no,yes,한식>오리요리,서울특별시 용산구 한강로3가 40-619 1층,
말방국밥 용산본점,restaurant,용산구,37.44065876604726,127.08177278531971,1,3,3,2,3,no,yes,한식>국밥,서울특별시 용산구 한강로2가 51-4 1층,
고산식육점,restaurant,용산구,37.56251783734369,127.01913710293967,1,3,3,2,3,no,yes,한식>돼지고기구이,"서울특별시 용산구 한강로2가 155-1 1, 2층",
남산광어,restaurant,용산구,37.44925869674725,127.07193355635702,1,3,3,2,3,no,yes,음식점>한식,서울특별시 용산구 한남동 631-5 2층,
